episode,reward,steps,reward_ma_50
1,0.0,186,0.0
2,100.0,198,50.0
3,100.0,165,66.66666666666667
4,300.0,199,125.0
5,100.0,195,120.0
6,100.0,162,116.66666666666667
7,0.0,163,100.0
8,300.0,219,125.0
9,0.0,171,111.11111111111111
10,0.0,182,100.0
11,300.0,193,118.18181818181819
12,0.0,161,108.33333333333333
13,200.0,199,115.38461538461539
14,0.0,140,107.14285714285714
15,100.0,184,106.66666666666667
16,100.0,144,106.25
17,0.0,202,100.0
18,100.0,211,100.0
19,0.0,159,94.73684210526316
20,0.0,187,90.0
21,0.0,187,85.71428571428571
22,100.0,178,86.36363636363636
23,200.0,160,91.30434782608695
24,0.0,192,87.5
25,100.0,162,88.0
26,0.0,213,84.61538461538461
27,100.0,230,85.18518518518519
28,0.0,182,82.14285714285714
29,100.0,190,82.75862068965517
30,300.0,226,90.0
31,0.0,148,87.09677419354838
32,100.0,187,87.5
33,200.0,187,90.9090909090909
34,200.0,214,94.11764705882354
35,100.0,174,94.28571428571429
36,300.0,216,100.0
37,0.0,230,97.29729729729729
38,200.0,199,100.0
39,0.0,232,97.43589743589743
40,100.0,224,97.5
41,100.0,168,97.5609756097561
42,0.0,319,95.23809523809524
43,100.0,196,95.34883720930233
44,0.0,179,93.18181818181819
45,100.0,164,93.33333333333333
46,100.0,190,93.47826086956522
47,0.0,232,91.48936170212765
48,100.0,203,91.66666666666667
49,0.0,178,89.79591836734694
50,100.0,186,90.0
51,100.0,200,92.0
52,100.0,209,92.0
53,0.0,188,90.0
54,0.0,161,84.0
55,0.0,209,82.0
56,0.0,197,80.0
57,0.0,200,80.0
58,100.0,175,76.0
59,0.0,168,76.0
60,0.0,213,76.0
61,100.0,182,72.0
62,100.0,184,74.0
63,0.0,169,70.0
64,0.0,196,70.0
65,0.0,216,68.0
66,100.0,197,68.0
67,100.0,217,70.0
68,200.0,213,72.0
69,100.0,190,74.0
70,200.0,158,78.0
71,100.0,251,80.0
72,0.0,177,78.0
73,200.0,194,78.0
74,0.0,173,78.0
75,0.0,161,76.0
76,200.0,181,80.0
77,100.0,212,80.0
78,0.0,201,80.0
79,0.0,190,78.0
80,0.0,170,72.0
81,100.0,140,74.0
82,0.0,174,72.0
83,0.0,186,68.0
84,0.0,195,64.0
85,100.0,194,64.0
86,300.0,188,64.0
87,100.0,204,66.0
88,0.0,199,62.0
89,100.0,166,64.0
90,0.0,187,62.0
91,100.0,199,62.0
92,0.0,181,62.0
93,100.0,210,62.0
94,0.0,165,62.0
95,200.0,218,64.0
96,200.0,154,66.0
97,0.0,177,66.0
98,0.0,173,64.0
99,100.0,164,66.0
100,0.0,170,64.0
101,100.0,183,64.0
102,100.0,187,64.0
103,100.0,173,66.0
104,0.0,196,66.0
105,200.0,186,70.0
106,300.0,246,76.0
107,200.0,197,80.0
108,100.0,213,80.0
109,200.0,220,84.0
110,100.0,170,86.0
111,100.0,189,86.0
112,0.0,168,84.0
113,200.0,187,88.0
114,200.0,195,92.0
115,300.0,180,98.0
116,200.0,202,100.0
117,100.0,176,100.0
118,200.0,173,100.0
119,200.0,192,102.0
