episode,reward,steps,reward_ma_50
1,0.0,162,0.0
2,100.0,150,50.0
3,0.0,181,33.333333333333336
4,200.0,200,75.0
5,100.0,187,80.0
6,100.0,201,83.33333333333333
7,100.0,167,85.71428571428571
8,0.0,176,75.0
9,0.0,152,66.66666666666667
10,100.0,170,70.0
11,100.0,206,72.72727272727273
12,100.0,176,75.0
13,300.0,179,92.3076923076923
14,0.0,187,85.71428571428571
15,100.0,190,86.66666666666667
16,100.0,202,87.5
17,200.0,204,94.11764705882354
18,100.0,193,94.44444444444444
19,100.0,190,94.73684210526316
20,200.0,215,100.0
21,200.0,183,104.76190476190476
22,100.0,155,104.54545454545455
23,0.0,166,100.0
24,0.0,175,95.83333333333333
25,200.0,181,100.0
26,200.0,202,103.84615384615384
27,0.0,165,100.0
28,200.0,180,103.57142857142857
29,100.0,189,103.44827586206897
30,100.0,167,103.33333333333333
31,200.0,183,106.45161290322581
32,200.0,203,109.375
33,100.0,179,109.0909090909091
34,0.0,195,105.88235294117646
35,0.0,200,102.85714285714286
36,0.0,147,100.0
37,200.0,166,102.70270270270271
38,100.0,217,102.63157894736842
39,100.0,206,102.56410256410257
40,100.0,213,102.5
41,100.0,183,102.4390243902439
42,200.0,215,104.76190476190476
43,0.0,192,102.32558139534883
44,0.0,156,100.0
45,100.0,169,100.0
46,200.0,219,102.17391304347827
47,300.0,182,106.38297872340425
48,300.0,204,110.41666666666667
49,100.0,149,110.20408163265306
50,100.0,166,110.0
51,0.0,198,110.0
52,100.0,172,110.0
53,0.0,190,110.0
54,0.0,183,106.0
55,200.0,185,108.0
56,100.0,182,108.0
57,100.0,162,108.0
58,200.0,235,112.0
59,100.0,171,114.0
60,200.0,178,116.0
61,400.0,240,122.0
62,0.0,220,120.0
63,100.0,212,116.0
64,100.0,170,118.0
65,100.0,193,118.0
66,100.0,170,118.0
67,0.0,187,114.0
68,0.0,201,112.0
69,100.0,215,112.0
70,0.0,147,108.0
71,100.0,165,106.0
72,200.0,192,108.0
73,200.0,189,112.0
74,100.0,182,114.0
75,100.0,229,112.0
76,200.0,188,112.0
77,0.0,194,112.0
78,100.0,181,110.0
79,0.0,194,108.0
80,100.0,167,108.0
81,100.0,145,106.0
82,0.0,177,102.0
83,0.0,221,100.0
84,0.0,194,100.0
85,0.0,166,100.0
86,0.0,166,100.0
87,0.0,159,96.0
88,200.0,150,98.0
89,200.0,217,100.0
90,100.0,158,100.0
91,100.0,184,100.0
92,200.0,195,100.0
93,0.0,182,100.0
94,200.0,182,104.0
95,100.0,188,104.0
96,100.0,180,102.0
97,100.0,181,98.0
98,100.0,170,94.0
99,200.0,199,96.0
100,0.0,165,94.0
101,100.0,215,96.0
102,100.0,200,96.0
103,0.0,200,96.0
104,100.0,170,98.0
105,0.0,184,94.0
106,0.0,172,92.0
107,0.0,186,90.0
108,100.0,188,88.0
109,300.0,219,92.0
110,0.0,159,88.0
111,200.0,202,84.0
112,0.0,195,84.0
113,200.0,207,86.0
114,100.0,185,86.0
115,0.0,177,84.0
116,0.0,199,82.0
117,100.0,184,84.0
118,100.0,200,86.0
119,0.0,185,84.0
120,100.0,182,86.0
121,200.0,196,88.0
122,0.0,173,84.0
123,200.0,205,84.0
124,0.0,192,82.0
125,100.0,172,82.0
126,100.0,166,80.0
127,300.0,208,86.0
128,0.0,171,84.0
129,200.0,180,88.0
130,100.0,208,88.0
131,100.0,178,88.0
132,100.0,188,90.0
