episode,reward,steps,reward_ma_50
1,0.0,171,0.0
2,0.0,177,0.0
3,100.0,200,33.333333333333336
4,0.0,207,25.0
5,200.0,180,60.0
6,0.0,191,50.0
7,100.0,186,57.142857142857146
8,0.0,175,50.0
9,0.0,177,44.44444444444444
10,0.0,173,40.0
11,0.0,187,36.36363636363637
12,0.0,151,33.333333333333336
13,100.0,186,38.46153846153846
14,100.0,204,42.857142857142854
15,0.0,199,40.0
16,0.0,181,37.5
17,100.0,176,41.1764705882353
18,100.0,192,44.44444444444444
19,100.0,188,47.36842105263158
20,100.0,213,50.0
21,100.0,161,52.38095238095238
22,0.0,172,50.0
23,0.0,194,47.82608695652174
24,100.0,148,50.0
25,200.0,213,56.0
26,100.0,225,57.69230769230769
27,200.0,184,62.96296296296296
28,200.0,205,67.85714285714286
29,200.0,200,72.41379310344827
30,0.0,185,70.0
31,100.0,211,70.96774193548387
32,0.0,161,68.75
33,100.0,207,69.6969696969697
34,100.0,153,70.58823529411765
35,200.0,196,74.28571428571429
36,0.0,201,72.22222222222223
37,0.0,176,70.27027027027027
38,0.0,193,68.42105263157895
39,0.0,177,66.66666666666667
40,100.0,204,67.5
41,100.0,169,68.29268292682927
42,200.0,147,71.42857142857143
43,100.0,174,72.09302325581395
44,400.0,239,79.54545454545455
45,200.0,188,82.22222222222223
46,0.0,201,80.43478260869566
47,0.0,164,78.72340425531915
48,0.0,233,77.08333333333333
49,100.0,150,77.55102040816327
50,0.0,178,76.0
51,100.0,149,78.0
52,100.0,211,80.0
53,0.0,254,78.0
54,0.0,190,78.0
55,0.0,168,74.0
56,100.0,175,76.0
57,100.0,170,76.0
58,0.0,196,76.0
59,100.0,173,78.0
60,100.0,186,80.0
61,0.0,187,80.0
62,100.0,151,82.0
63,200.0,177,84.0
64,200.0,196,86.0
65,100.0,260,88.0
66,0.0,146,88.0
67,0.0,206,86.0
68,0.0,197,84.0
69,100.0,191,84.0
70,0.0,212,82.0
71,0.0,207,80.0
72,0.0,196,80.0
73,0.0,203,80.0
74,0.0,186,78.0
75,100.0,225,76.0
76,0.0,146,74.0
77,100.0,191,72.0
78,200.0,199,72.0
79,200.0,192,72.0
80,100.0,164,74.0
81,300.0,155,78.0
82,100.0,215,80.0
83,0.0,164,78.0
84,0.0,182,76.0
85,0.0,178,72.0
86,0.0,193,72.0
87,300.0,207,78.0
88,0.0,143,78.0
89,100.0,161,80.0
90,100.0,151,80.0
91,0.0,142,78.0
92,0.0,205,74.0
93,100.0,205,74.0
94,100.0,197,68.0
95,200.0,190,68.0
96,0.0,150,68.0
97,100.0,185,70.0
98,0.0,204,70.0
99,100.0,202,70.0
100,0.0,193,70.0
101,100.0,149,70.0
102,200.0,194,72.0
103,0.0,218,72.0
104,0.0,180,72.0
105,100.0,171,74.0
106,200.0,195,76.0
107,100.0,189,76.0
108,0.0,200,76.0
109,200.0,154,78.0
110,0.0,192,76.0
111,100.0,183,78.0
112,0.0,185,76.0
113,100.0,153,74.0
114,100.0,196,72.0
115,100.0,175,72.0
116,100.0,193,74.0
117,0.0,221,74.0
118,100.0,206,76.0
119,0.0,199,74.0
120,100.0,195,76.0
121,100.0,145,78.0
122,0.0,194,78.0
123,0.0,159,78.0
124,0.0,204,78.0
125,100.0,216,78.0
126,100.0,186,80.0
127,0.0,230,78.0
128,100.0,174,76.0
129,100.0,221,74.0
130,0.0,192,72.0
131,0.0,152,66.0
132,0.0,171,64.0
133,100.0,216,66.0
134,200.0,159,70.0
135,0.0,198,70.0
136,0.0,181,70.0
137,0.0,160,64.0
138,200.0,234,68.0
139,100.0,212,68.0
140,0.0,195,66.0
141,0.0,178,66.0
142,100.0,178,68.0
143,200.0,190,70.0
144,0.0,161,68.0
145,300.0,187,70.0
146,200.0,175,74.0
147,100.0,162,74.0
148,0.0,158,74.0
149,100.0,188,74.0
150,100.0,193,76.0
