episode,reward,steps,reward_ma_50
1,100.0,250,100.0
2,200.0,180,150.0
3,0.0,205,100.0
4,0.0,190,75.0
5,0.0,198,60.0
6,0.0,150,50.0
7,0.0,180,42.857142857142854
8,0.0,205,37.5
9,200.0,181,55.55555555555556
10,0.0,164,50.0
11,0.0,179,45.45454545454545
12,100.0,201,50.0
13,0.0,176,46.15384615384615
14,0.0,165,42.857142857142854
15,100.0,198,46.666666666666664
16,200.0,183,56.25
17,100.0,226,58.8235294117647
18,0.0,186,55.55555555555556
19,100.0,193,57.89473684210526
20,100.0,187,60.0
21,100.0,183,61.904761904761905
22,100.0,185,63.63636363636363
23,100.0,163,65.21739130434783
24,100.0,181,66.66666666666667
25,100.0,217,68.0
26,100.0,193,69.23076923076923
27,200.0,182,74.07407407407408
28,0.0,174,71.42857142857143
29,200.0,214,75.86206896551724
30,200.0,199,80.0
31,0.0,190,77.41935483870968
32,0.0,184,75.0
33,100.0,167,75.75757575757575
34,0.0,232,73.52941176470588
35,100.0,205,74.28571428571429
36,0.0,202,72.22222222222223
37,100.0,158,72.97297297297297
38,100.0,180,73.6842105263158
39,0.0,196,71.7948717948718
40,0.0,175,70.0
41,200.0,179,73.17073170731707
42,0.0,191,71.42857142857143
43,100.0,167,72.09302325581395
44,100.0,188,72.72727272727273
45,200.0,200,75.55555555555556
46,200.0,202,78.26086956521739
47,100.0,172,78.72340425531915
48,200.0,164,81.25
49,100.0,218,81.63265306122449
50,100.0,169,82.0
51,0.0,220,80.0
52,100.0,183,78.0
53,0.0,207,78.0
54,100.0,170,80.0
55,0.0,204,80.0
56,200.0,201,84.0
57,0.0,199,84.0
58,200.0,244,88.0
59,100.0,167,86.0
60,100.0,213,88.0
61,100.0,252,90.0
62,0.0,173,88.0
63,0.0,168,88.0
64,100.0,139,90.0
65,100.0,263,90.0
66,0.0,202,86.0
67,100.0,153,86.0
68,0.0,264,86.0
69,100.0,170,86.0
70,100.0,202,86.0
71,100.0,185,86.0
72,200.0,196,88.0
73,0.0,221,86.0
74,100.0,184,86.0
75,300.0,205,90.0
76,0.0,241,88.0
77,100.0,153,86.0
78,100.0,145,88.0
79,0.0,204,84.0
80,0.0,183,80.0
81,100.0,180,82.0
82,300.0,216,88.0
83,100.0,174,88.0
84,0.0,219,88.0
85,0.0,168,86.0
86,0.0,205,86.0
87,100.0,149,86.0
88,100.0,162,86.0
89,0.0,165,86.0
90,200.0,165,90.0
91,0.0,148,86.0
92,0.0,166,86.0
93,100.0,190,86.0
94,100.0,198,86.0
95,0.0,189,82.0
96,100.0,184,80.0
97,0.0,166,78.0
98,200.0,212,78.0
99,100.0,170,78.0
100,200.0,173,80.0
101,0.0,181,80.0
102,100.0,177,80.0
103,300.0,168,86.0
104,100.0,179,86.0
105,0.0,166,86.0
106,0.0,179,82.0
107,400.0,173,90.0
108,200.0,176,90.0
109,0.0,176,88.0
110,100.0,162,88.0
